"Story","Title","Result","Date","Stability","Duration (s)"
"Registro exitoso","Registro exitoso de un usuario","SUCCESS","2022-08-13T17:36:06.582-05:00[America/Bogota]","0.0","49.92"
"Seleccionar productos","Seleccionar productos de una categoria","ERROR","2022-08-12T13:00:31.168-05:00[America/Bogota]","0.0","39.21"
